Source,Target
KarlinaaNina,hidzhnslm
gyukimme,caratstalk
firmanadhi_p,Dampoz
Legislator75,CNNIndonesia
dudskeeyy,diekycahyana
f___yp,KoyimusSidik
f___yp,kumparan
f___yp,adwibasuki
31r4_u7h4w,tempodotco
dinoridgid,tanyarlfes
dinoridgid,kataavana
dinoridgid,noxxignature
CahyoMahanani,ZakkiAmali
widddsssss,yourvunny
widddsssss,thalissuffering
rogue_mercenary,ferrymahmud
rogue_mercenary,ridwanhr
iqbalalghi,famajiid
ndlg0x,JurnalAkuntansi
fachryalauddin,prabowo
HasnanAnand,bhaguz_403
masih_kuliah,CNNIndonesia
lisalebe,emgininamakuu
arillavarendra,WagimanDeep212_
arillavarendra,van_tovich
roflumilasted,BudiBukanIntel
RizalFauzan6,FayaAtika
zitomcavalera,Strategi_Bisnis
faridism,kumparan
NgilmuKantiLaku,CNNIndonesia
ickyhp,polisiolahraga
ickyhp,jniferrrr
ickyhp,titisanrendang
Kasayanto_,Mayapada0812
Kasayanto_,geloraco
wietj4k,mozam_05
wietj4k,msaid_didu
wietj4k,jokowi
wietj4k,icik___
wietj4k,SangGedang5357
jnymine,yaniarsim
jnymine,ArayaaVk8429
jnymine,Mattree29
ultramilkyuju,unsoedfess_
KaoruSusuSapi,VRchama
wahju_wibowo,LexWu_13
wietj4k,mozam_05
wietj4k,msaid_didu
wietj4k,jokowi
wietj4k,icik___
wietj4k,SangGedang5357
BrigsOnlineShop,susipudjiastuti
cozyzone666,jokowi
cozyzone666,tvOneNews
Lamno422632,JaenoXTM
fuk_min,kumparan
wisono_,danissasha
roufphysio,AdrianWaworuntu
roufphysio,Coming_soon_8
Petanidesa13,vaniepink
wunderwumen_,moonanneback
masguntur01,NOTASLIMBOY
masguntur01,jajattea80
Kasayanto_,revolutia
tilehopper,blisscotheque
Scouting4you,TradingDiary2
missteepsyy,kochengfs
darmantahu,vaniepink
officialinews_,hnirankara
UmatAkhirZama15,KwetiawJozz
conquerme,om_AL1802
drofxoni,ufuffufff
drofxoni,famajiid
roy1alien,e100ss
ajotegie,iwanfals
moeniccca,sorceressmyr
kring_pajak,Yosheko888
si.oyen.2024,unmagnetism
sarjanashopeee,kacang_godhog
cozyzone666,inilahdotcom
cozyzone666,jokowi
cozyzone666,inilahdotcom
cozyzone666,jokowi
cozyzone666,AKamjaya
Aryanis17917,txtdrjkt
dudskeeyy,yollandamaria
cozyzone666,BayuAngora
F15TY,BaseBDG
F15TY,quantxmleap
irwanchaniago1,tifsembiring
kkmanti,anak_5okin
SENDYYeah,alifahzhou
okino2x,S4N_W1B1
soulofdarkne55,Gerindra
kangparkiir,txtdrjkt
jambi_bro,prabowo
AistillHere,prabowo
one_ted,sanrizzwoo
Gedebus99,txtdrjkt
RamaAdamfaathir,Rajahutan70
RamaAdamfaathir,VIVAcoid
Nebulavexion,sosmedkeras
seryur12,YLBHI
freakincatt0,emeraldafz
Iqlima_uhuy,Penyuka_ombak
Iqlima_uhuy,jokowi
angavatarr,YLBHI
thatsbabayagaa,TeddGus
PutraIranda,prabowo
hamsuryas,NOTASLIMBOY
lucatheia,pearlpufie
MF_Rais,reyreyhan__
prayogiach68717,CakKhum
prayogiach68717,CocoLatii
prayogiach68717,cerpen25
RT_Udeen,putripramess
