Label;indegree;outdegree;Degree;modularity_class;eigencentrality;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;X;Y;Size;Color
KarlinaaNina;0;1;1;0;0;1;1;1;0;0.109757;0.492987;0;"#c0c0c0"
hidzhnslm;1;0;1;0;0.004568;0;0;0;0;0.101247;0.505719;0;"#c0c0c0"
gyukimme;0;1;1;1;0;1;1;1;0;0.366134;0.034609;0;"#c0c0c0"
caratstalk;1;0;1;1;0.004568;0;0;0;0;0.385385;0.042044;0;"#c0c0c0"
firmanadhi_p;0;1;1;2;0;1;1;1;0;0.636222;0.854234;0;"#c0c0c0"
Dampoz;1;0;1;2;0.004568;0;0;0;0;0.624821;0.861368;0;"#c0c0c0"
Legislator75;0;7;7;120;0;2;0.888889;0.9375;0;0.444535;0.556763;0.035088;"#005c50"
CNNIndonesia;34;0;34;120;0.155312;0;0;0;0;0.425288;0.559143;0.192982;"#005c50"
dudskeeyy;0;2;2;3;0;1;1;1;0;0.488068;0.042721;0.005848;"#c0c0c0"
diekycahyana;1;0;1;3;0.004568;0;0;0;0;0.489279;0.026265;0;"#c0c0c0"
f___yp;0;3;3;333;0;1;1;1;0;0.515768;0.208953;0.011696;"#ff7b00"
KoyimusSidik;1;0;1;333;0.004568;0;0;0;0;0.521836;0.166796;0;"#ff7b00"
kumparan;17;0;17;333;0.079979;0;0;0;0;0.472232;0.274438;0.093567;"#ff7b00"
adwibasuki;1;0;1;333;0.004568;0;0;0;0;0.535624;0.190024;0;"#ff7b00"
31r4_u7h4w;0;1;1;233;0;1;1;1;0;0.69434;0.463025;0;"#dba600"
tempodotco;43;0;43;233;0.20661;0;0;0;0;0.655978;0.455072;0.245614;"#dba600"
dinoridgid;0;3;3;110;0;1;1;1;0;0.789297;0.248613;0.011696;"#99d27a"
tanyarlfes;44;0;44;110;0.207962;0;0;0;0;0.776158;0.305203;0.251462;"#99d27a"
kataavana;1;0;1;110;0.004568;0;0;0;0;0.812893;0.240272;0;"#99d27a"
noxxignature;1;0;1;110;0.004568;0;0;0;0;0.770195;0.218542;0;"#99d27a"
CahyoMahanani;0;3;3;163;0;1;1;1;0;0.564602;0.569815;0.011696;"#4d6400"
ZakkiAmali;1;0;1;163;0.004568;0;0;0;0;0.604495;0.626128;0;"#4d6400"
widddsssss;0;2;2;4;0;1;1;1;0;0.270433;0.856853;0.005848;"#c0c0c0"
yourvunny;1;0;1;4;0.004568;0;0;0;0;0.252964;0.837117;0;"#c0c0c0"
thalissuffering;1;0;1;4;0.004568;0;0;0;0;0.286493;0.87501;0;"#c0c0c0"
rogue_mercenary;0;5;5;370;0;1;1;1;0;0.265979;0.65258;0.023392;"#c0c0c0"
ferrymahmud;1;0;1;370;0.004568;0;0;0;0;0.238537;0.670545;0;"#c0c0c0"
ridwanhr;1;0;1;370;0.004568;0;0;0;0;0.230457;0.684712;0;"#c0c0c0"
iqbalalghi;0;1;1;17;0;1;1;1;0;0.619139;0.059052;0;"#c0c0c0"
famajiid;2;0;2;17;0.009136;0;0;0;0;0.643398;0.061499;0.005848;"#c0c0c0"
ndlg0x;0;1;1;5;0;1;1;1;0;0.303945;0.12793;0;"#c0c0c0"
JurnalAkuntansi;2;0;2;5;0.009136;0;0;0;0;0.305196;0.114432;0.005848;"#c0c0c0"
fachryalauddin;0;1;1;536;0;1;1;1;0;0.466392;0.498917;0;"#ffa584"
prabowo;172;0;172;536;1;0;0;0;0;0.492046;0.440879;1;"#ffa584"
HasnanAnand;0;1;1;6;0;1;1;1;0;0.077564;0.324248;0;"#c0c0c0"
bhaguz_403;1;0;1;6;0.004568;0;0;0;0;0.105142;0.319163;0;"#c0c0c0"
