"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"MMH's","@KarlinaaNina","2024-10-30T06:25:24.000Z","Kynya ini gegara ppn 12% yg mulai berlaku taun depan deh. Tp belinya skrg harusnya masih 11% gasih? ","1","0","0","62","[]","[]","https://x.com/KarlinaaNina/status/1851510698142286141","tweet_id:1851510698142286141","['@hidzhnslm']"
"Ansilus®","@undrcvr_agent__","2024-10-30T05:17:41.000Z","Bursa efek itu sekarang notaben di topang sama kelas menengah, soalnya kelas atas udh banyak yang cash out karena asing pada cabut.
Tapi tai-nya sekarang kebijakan malah ngehantam kelas menengah terus, di tambah tahun depan ppn 12%","1","0","0","60","[]","[]","https://x.com/undrcvr_agent__/status/1851493656903225723","tweet_id:1851493656903225723","[]"
"슥민규-`ღ´-","@gyukimme","2024-10-30T05:06:57.000Z","Plis kasi tau aku, harga kaya gini tuh normal/over price? Trus kalo include tax itu maksudnya Ppn 12%? Aku blm pernah ngonser kipop soalnya","0","0","0","128","[]","[]","https://x.com/gyukimme/status/1851490956572594398","tweet_id:1851490956572594398","['@caratstalk']"
"tempo.co","@tempodotco","2024-10-30T00:05:10.000Z","Kabinet Prabowo Tak Bahas Kenaikan PPN 12 Persen di Retret Akmil Magelang bisnis.tempo.co/read/1934768/k
… #TempoBisnis","0","0","2","1.2K","['#TempoBisnis']","[]","https://x.com/tempodotco/status/1851415010079359122","tweet_id:1851415010079359122","[]"
"About Cirebon","@AboutCirebonID","2024-10-29T10:40:22.000Z","DPRD Kota Cirebon Terima Aspirasi Mahasiswa Soal Penolakan Kenaikan PPN 12 Persen aboutcirebon.id/dprd-kota-cire
… #cirebon","0","0","0","237","['#cirebon']","[]","https://x.com/AboutCirebonID/status/1851212475666141606","tweet_id:1851212475666141606","[]"
"karyotubruk","@firmanadhi_p","2024-10-29T08:44:15.000Z","ppn 12% ppkn hbd spbu bsd","0","0","0","61","[]","[]","https://x.com/firmanadhi_p/status/1851183252893225148","tweet_id:1851183252893225148","['@Dampoz']"
"Pro Keadilan#Warga Merdeka","@Legislator75","2024-10-29T08:13:35.000Z","Knp gak disisir tuh pajak dri hsl tambang...terutama nikel dan batubara..ini malah dikenakn tarif rendah bahkan ada yg dibebaskn..kejar dong..yg disisir malah pajak rakyat miskin PPN 12% dn judol?..seharusnya woii wamen judol itu ditutup krn nyata telah bkin sengsara rakyat.","0","0","0","116","[]","[]","https://x.com/Legislator75/status/1851175534925062410","tweet_id:1851175534925062410","['@CNNIndonesia']"
"The monster","@dudskeeyy","2024-10-29T06:28:48.000Z","hhhh jgn lupa welcoming PPN 12% ","1","0","0","54","[]","[]","https://x.com/dudskeeyy/status/1851149164899680482","tweet_id:1851149164899680482","['@diekycahyana']"
"Riki Arya S","@rikiarya757","2024-10-29T03:53:49.000Z","mantappp, ada tambahan biaya admin Rp5.000 untuk para pelanggan indihome, ditambah PPN 12% tahun depan. terima kasih rezim keberlanjutan ","2","0","0","779","[]","[]","https://x.com/rikiarya757/status/1851110162695929981","tweet_id:1851110162695929981","[]"
"CNBC Indonesia","@cnbcindonesia","2024-10-29T00:11:17.000Z","Prabowo Tak Bahas Soal PPN 12% di Retreat Magelang","1","0","0","376","[]","[]","https://x.com/cnbcindonesia/status/1851054160789278826","tweet_id:1851054160789278826","[]"
"Binge Watching & Beyond on Spotify","@f___yp","2024-10-28T14:15:39.000Z","Ya kan, makanya perlu cek fakta dulu.. kalo ternyata banyak yg gabisa dilelang kan ujung²nya bakal jadi pemborosan dong.. sebagai rakyat jelata yg menjunjung tinggi prinsip hemat pangkal kaya tapi belum kaya² juga, cuma bisa keselHapus tuh PPN 12% & Tapera!!","0","0","0","237","[]","[]","https://x.com/f___yp/status/1850904263171653678","tweet_id:1850904263171653678","['@adwibasuki', '@kumparan', '@KoyimusSidik']"
"J 4 W","@31r4_u7h4w","2024-10-28T10:18:21.000Z","Kalau cuma omon-oman doang ga ngaruh ... ... ... yg penting tindakan nyata pemberantasannnya, ... jangan beraninya cuma sm rakyat kecil, di cekek sm ppn 12%, ... ... ...","0","0","0","94","[]","[]","https://x.com/31r4_u7h4w/status/1850844544620965982","tweet_id:1850844544620965982","['@tempodotco']"
"Raka Bin W N","@dinoridgid","2024-10-28T01:21:38.000Z","Jadi kebayang ppn 12% ","0","0","0","225","[]","[]","https://x.com/dinoridgid/status/1850709476632072394","tweet_id:1850709476632072394","['@kataavana', '@tanyarlfes', '@noxxignature']"
"Nurcahyo Mahanani","@CahyoMahanani","2024-10-27T11:33:48.000Z","Mengingatkan tahun depan PPn 12%.
Mari kita taat bayar pajak.","0","0","1","940","[]","[]","https://x.com/CahyoMahanani/status/1850501146177311027","tweet_id:1850501146177311027","['@ZakkiAmali']"
"𝐖𝐢𝐝s","@widddsssss","2024-10-27T05:36:23.000Z","Noh ppn 12% grgr pilihan lo wkwkwk","0","0","5","1K","[]","[]","https://x.com/widddsssss/status/1850411200582123733","tweet_id:1850411200582123733","['@thalissuffering', '@yourvunny']"
"rogue mercenary","@rogue_mercenary","2024-10-27T05:28:24.000Z","Tapera 3% sama PPN 12% lah, akhirnya kelas menengah pada pindah ke LN nanti, mending kerja menial jobs disana daripada diperas terus disini.","0","2","3","3K","[]","[]","https://x.com/rogue_mercenary/status/1850409191669915656","tweet_id:1850409191669915656","['@ridwanhr', '@ferrymahmud']"
"Iqbal","@iqbalalghi","2024-10-27T04:09:11.000Z","Tambah PPN per 1 Januari 2025 jadi 12%. Walau naiknya hanya 1% tapi aslinya 9%..
Harga barang 10.000 , PPN 11% harganya jadi 11.000.  Jika PPN 12% harganya jadi 12.000 . 11.000 jadi 12.000 naiknya 9%...
Ekonomi bisa semakin lesu dan sektor formal semakin berkurang.","1","0","0","82","[]","[]","https://x.com/iqbalalghi/status/1850389256411459912","tweet_id:1850389256411459912","['@famajiid']"
"jacob van neck","@ndlg0x","2024-10-26T14:24:15.000Z","PPN 12% & tapera 3% salah satunya","0","0","1","346","[]","[]","https://x.com/ndlg0x/status/1850181653374914590","tweet_id:1850181653374914590","['@JurnalAkuntansi']"
"Chry","@fachryalauddin","2024-10-26T08:47:39.000Z","Kalo Pak Wowo ngecancel PPN 12% kayaknya saya bakal suka lagi ama Bapak, walaupun tetep gasuka ama Gibran ","0","0","0","37","[]","[]","https://x.com/fachryalauddin/status/1850096947102917075","tweet_id:1850096947102917075","['@prabowo']"
"Negara Mafia !","@MgmPtmgm","2024-10-26T06:43:04.000Z","PRABOWO  KEJAR PENGUSAHA SAWIT PENGEMPLANG PAJAK 300 T. LEBIH KONKRIT KETIMBANG NAIKKAN PPN 12%","0","0","0","69","[]","[]","https://x.com/MgmPtmgm/status/1850065591123493100","tweet_id:1850065591123493100","[]"
"anand","@HasnanAnand","2024-10-26T04:04:40.000Z","Klo januari kena ppn 12% dong ya klo beli??","0","0","0","243","[]","[]","https://x.com/HasnanAnand/status/1850025729066717320","tweet_id:1850025729066717320","['@bhaguz_403']"
"T0361M4N","@toe_giman","2024-10-26T03:02:05.000Z","Daya beli masyarakat terjun bebas, konon bahkan sudah deflasi ssmpai 5x, tp tetap saja pasar ga menggiat...

Gimana nanti ppn 12% ","7","46","79","1.8K","[]","[]","https://x.com/toe_giman/status/1850009980667298109","tweet_id:1850009980667298109","[]"
"masih_kuliah","@masih_kuliah","2024-10-26T02:32:37.000Z","Jika kasus tdk diungkap maka pembiayaan negara sbesar 996m yg bisa digunakan dr uang hsl kejahatan itu akan ditanggung rakyat dr kenaikan2 pungutan spt ppn 12% dll yg berpotensi melesukan ekonomi","0","0","0","155","[]","[]","https://x.com/masih_kuliah/status/1850002562818375937","tweet_id:1850002562818375937","['@CNNIndonesia']"
"Haub Oggnam","@HaubAkalam","2024-10-26T02:07:21.000Z","Ppn 12%, seperti negara oecd yg laen","0","0","0","1.2K","[]","[]","https://x.com/HaubAkalam/status/1849996205587300358","tweet_id:1849996205587300358","[]"
"Arka Atmaja","@arkaatmaja7","2024-10-25T22:37:44.000Z","Mewajibkan produk harus sertifikasi halal, harus dilengkapi dengan kebijakan pemerintah, Gratis dan Mudah pengurusannya terutama untuk UMKM atau semua. Coba Babe Haikal buat trobosan ini. Karena sebentar lagi juga ada kenaikan ppn 12% yg beratkan pengusaha. Jangan persulit.","0","0","0","405","[]","[]","https://x.com/arkaatmaja7/status/1849943454039855277","tweet_id:1849943454039855277","[]"
"KWON lisa","@lisalebe","2024-10-25T18:20:10.000Z","lama2 males gw urus orng miskin indo kayak donasi2 BODO AMAT . padahal jiwa sosial gw tinggi bgt asli , kalau kritik masalah tapera , PPn 12% di bales anak abah + taq gerinda jadi kayak ah hidup masing2 aja lah skrng","0","0","1","131","[]","[]","https://x.com/lisalebe/status/1849878635504861327","tweet_id:1849878635504861327","['@lisalebe', '@emgininamakuu']"
"Ariella.vr","@arillavarendra","2024-10-25T14:22:04.000Z","Jangan lupa ppn 12%","0","0","0","42","[]","[]","https://x.com/arillavarendra/status/1849818717724737725","tweet_id:1849818717724737725","['@van_tovich', '@WagimanDeep212_']"
"Oth.","@othmansuseno","2024-10-25T12:38:57.000Z","#WhatsHappening #IndonesiaToday #MiddleClassWorker ""100 Hari kabinet Bapak Presiden Prabowo, tolong bantu stimulan ekonomi kami pak, tabungan sudah menipis .... para pejabat naik mobil mewah, dapat tunjangan rumah 50-70 juta perbulan, kami dapat PPn 12%, Tapera, Gaji Rendah.""","0","0","0","178","['#WhatsHappening', '#IndonesiaToday', '#MiddleClassWorker']","[]","https://x.com/othmansuseno/status/1849792767318426099","tweet_id:1849792767318426099","[]"
"Trippi Troppi Troppa Trippa","@roflumilasted","2024-10-25T07:49:32.000Z","Semangat bayar PPN 12% + Tapera bang","0","0","1","178","[]","[]","https://x.com/roflumilasted/status/1849719930851356708","tweet_id:1849719930851356708","['@BudiBukanIntel']"
"Rizal FR","@RizalFauzan6","2024-10-25T05:32:09.000Z","Gak usah sakit hati.. tenang wae, thn depan tak tambahi PPN 12%. ","1","0","0","143","[]","[]","https://x.com/RizalFauzan6/status/1849685358763802744","tweet_id:1849685358763802744","['@FayaAtika']"
