"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"Rizky Miura","@Rasakimura","2024-11-29T23:47:58.000Z","UMP naik kok yg umumin presiden bukan kepala daerah? 
Harusnya presiden yg umumin yg skala nasional, seperti kenaikan PPn 12%","0","0","0","202","[]","[]","https://x.com/Rasakimura/status/1862644706628550953","tweet_id:1862644706628550953","['@detikcom']"
"Neng Julida","@attentizon","2024-11-29T23:41:22.000Z","Kenaikan PPN 12 % akan ditunda!

Menurut Luhut, penerapan kenaikan tarif baru PPN itu karena pemerintah akan memberikan stimulus atau insentif terlebih dahulu kepada masyarakat melalui bantuan sosial ke kelas menengah.

***
Agus Wulan Guritno Bahlil 
Pertamax #jakartabo Nasi","4","7","7","671","['#jakartabo']","[]","https://x.com/attentizon/status/1862643042332942758","tweet_id:1862643042332942758","[]"
"Bolasalju","@bolasaljucom","2024-11-29T23:40:29.000Z","Jurus ekonomi naik 8%

Kenaikan UMP 6,5%. Gaji guru naik. PPN 12%. Kami duga setelah ini ada juga institusi lain, adakah?

Kami perkirakan setelah ini suku bunga akan turun. Usaha ambil kredit lagi. Ekonomi diharapkan tumbuh.

Tinggal BBM atau gas, entah ada kejutan atau","1","2","1","534","[]","[]","https://x.com/bolasaljucom/status/1862642823192866978","tweet_id:1862642823192866978","[]"
"Zora D Xplorerrr","@tokyouenji","2024-11-29T23:37:21.000Z","bangun guyss ppn 12% lu di hak milikin gibrann","0","0","0","65","[]","[]","https://x.com/tokyouenji/status/1862642032889749569","tweet_id:1862642032889749569","[]"
"松本, MINAMI.","@exxelliarmus","2024-11-29T23:25:57.000Z","3. Masih belum menemukan keuntungan dari PPN 12% sih, yang ada malah nemuin kerugian-kerugian kalau PPN naik ya karena semua kebutuhan apapun semakin naik harganya, mungkin kalau ada yang nemu keuntungannya spill dongs.","1","0","0","37","[]","[]","https://x.com/exxelliarmus/status/1862639163960697242","tweet_id:1862639163960697242","['@exxelliarmus']"
"al","@lizdeul","2024-11-29T23:25:03.000Z","prabowo, kata gue program makan siang gratis udh gausah di adain deh... bikin beban anggaran negara aja. ikn juga tundah aja deh, ppn 12% batalin wo bikin susah buruh aja wo.","0","0","0","44","[]","[]","https://x.com/lizdeul/status/1862638936763638103","tweet_id:1862638936763638103","[]"
"Abah Owl","@2024_anies62406","2024-11-29T23:15:24.000Z","Dikurangin PPN 12% juga?","0","0","0","84","[]","[]","https://x.com/2024_anies62406/status/1862636509763183065","tweet_id:1862636509763183065","['@NOTASLIMBOY']"
"Sanz","@snuwbw","2024-11-29T23:02:31.000Z","Meh tangi isuk opo tangi awan rejekine tetep dipatok PPN 12% ","0","0","0","139","[]","[]","https://x.com/snuwbw/status/1862633265896870150","tweet_id:1862633265896870150","[]"
"elle","@matchanomaly","2024-11-29T23:01:08.000Z","bayangin lu harus struggle sama hidup yang serba mahal karena ppn 12% terus pasangan lu malah bilang gapapa dan nyebokin pemerintah … god I can’t imagine that","0","0","0","109","[]","[]","https://x.com/matchanomaly/status/1862632917245337711","tweet_id:1862632917245337711","['@matchanomaly']"
"Kilas Berita","@Kilas_berita_","2024-11-29T23:01:06.000Z","CELIOS: PPN 12 Persen Beresiko Gerus Konsumsi Rumah Tangga Hingga Rp40,68 Triliun dlvr.it/TGTsHD #EKBIS #FEED","0","0","0","47","['#EKBIS', '#FEED']","[]","https://x.com/Kilas_berita_/status/1862632908340830415","tweet_id:1862632908340830415","[]"
