"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"Faula","@EuisKoffier","2024-12-30T23:59:47.000Z","Yap before ppn 12% ","0","0","0","117","[]","[]","https://x.com/EuisKoffier/status/1873881703510663312","tweet_id:1873881703510663312","['@drinkyohwater']"
"Maudy Asmara","@Mdy_Asmara1701","2024-12-30T23:57:29.000Z","Ayo tebak guys 

Presiden  terbitkan Perppu atau tidak terkait PPN 12 Persen?","21","31","63","4.6K","[]","['@prabowo']","https://x.com/Mdy_Asmara1701/status/1873881122133991850","tweet_id:1873881122133991850","[]"
"Ken Z","@Ken_Nero_Z","2024-12-30T23:56:56.000Z","Lah dlu pdip yg mengesahkan uu ppn 12% skg malah menentang.dl siapa yg mengusulkan?.Srh cabut uunya mudah kan?.kyk nanam bom waktu.
Emg dl ga mikir bakal menyusahkan rakyat?.Skg pura2 bela rakyat.Krn jd oposisi.
Dl dlm pemerintahan ga peduli ama rakyat.sibuk pesta pora.
10th loh","0","0","0","193","[]","[]","https://x.com/Ken_Nero_Z/status/1873880984216887440","tweet_id:1873880984216887440","['@riekediahp']"
"Arempeg","@arempeg","2024-12-30T23:56:53.000Z","PPN 12 Persen Dipaksakan Saat Rakyat Masih Susah","0","0","0","66","[]","[]","https://x.com/arempeg/status/1873880973294919963","tweet_id:1873880973294919963","[]"
"Rakyat Ndeso","@HMMurah3","2024-12-30T23:52:47.000Z","PPN 12% Tahun 2025 Harga Kebutuhan Pokok
Rakyat Sdh di Taik2in !","0","0","0","73","[]","[]","https://x.com/HMMurah3/status/1873879939239575918","tweet_id:1873879939239575918","[]"
"Menantang Rasi Bintang","@zalrijal","2024-12-30T23:52:24.000Z","Penggunaan diksi ""barang mewah"" dalam kenaikan PPN 12% bisa dibilang akal bulus pemerintah dong ya? Belum lagi pertentangan antar kelas, Bener kata Bintang Emon, yang ribut nantinya antar masyarakat juga. Siaaaal sial kelas menengah juga diperes terus nih!
Via ","1","1","0","9.1K","[]","['@hariankompas']","https://x.com/zalrijal/status/1873879845467545673","tweet_id:1873879845467545673","[]"
"ini cerpen","@cerpen25","2024-12-30T23:52:07.000Z","PPN 12% bgt ga tu ","0","0","0","27","[]","[]","https://x.com/cerpen25/status/1873879772717261079","tweet_id:1873879772717261079","['@likromiahooy']"
"Arofa.F.G.Ridho","@AFGRIDHO","2024-12-30T23:50:45.000Z","Ironinya adalah meme ini beneran terjadi.. barusan banget liat IG story vet langganan yg bilang mulai tgl 1 januari ada penyesuaian harga ke sistem ppn 12%. Fak lah kata w mah ","1","0","0","3.1K","[]","[]","https://x.com/AFGRIDHO/status/1873879428541145423","tweet_id:1873879428541145423","['@qrivasi']"
"Rujak Cingur","@staysaferek","2024-12-30T23:50:29.000Z","1. Krn sudah dikondisikan di media kalau kenaikan ppn 12% diinisiasi PDIP.
Jadi dia berharap, kalau tetap naik, rakyat akan semakin ga suka dg PDIP.
2. Ini pemerintahan Prabowo.
Jadi dia berharap, pilpres 2029, rakyat ga milih Prabowo lagi. Tapi akan pilh kang susu asam sulfat","1","0","2","104","[]","[]","https://x.com/staysaferek/status/1873879360413065392","tweet_id:1873879360413065392","['@AdamVelcro']"
"MAMANG","@mang_Deddy","2024-12-30T23:50:11.000Z","Jokowi yg mantan presiden manusia licik nan culas ke rakyat. Rezim pak Prabowo hrs nanggung hujatan rakyat.  Terbaik pak Prabowo menunda kep PPN 12% biar rakyat teduh","0","0","1","214","[]","[]","https://x.com/mang_Deddy/status/1873879286320623906","tweet_id:1873879286320623906","['@democrazymedia']"
