"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"bumnjayapurajitu","@jayapurajitu","2025-01-30T23:28:57.000Z","ASDP Bebas PPN 12%

PT ASDP Indonesia Ferry (Persero) menegaskan bahwa layanan penyeberangan yang dikelolanya tetap bebas dari PPN, meskipun sempat muncul wacana kenaikan PPN hingga 12%. #ASDPBebasPPN#ASDPIndonesiaFerry#PPN12%#KenaikanPPN12%#LayananASDP#logistiknasional","0","0","0","144","['#ASDPBebasPPN', '#ASDPIndonesiaFerry', '#PPN12', '#KenaikanPPN12', '#LayananASDP', '#logistiknasional']","[]","https://x.com/jayapurajitu/status/1885107967521083733","tweet_id:1885107967521083733","[]"
"BUMN Kendari Bermanfaat","@bumn_kendari","2025-01-30T22:20:53.000Z","*ASDP Bebas PPN 12%*

PT ASDP Indonesia Ferry (Persero) menegaskan bahwa layanan penyeberangan yang dikelolanya tetap bebas dari PPN, meskipun sempat muncul wacana kenaikan PPN hingga 12%.#ASDPBebasPPN#ASDPIndonesiaFerry#PPN12%#KenaikanPPN12%#LayananASDP#logistiknasional","0","0","0","152","['#ASDPBebasPPN', '#ASDPIndonesiaFerry', '#PPN12', '#KenaikanPPN12', '#LayananASDP', '#logistiknasional']","[]","https://x.com/bumn_kendari/status/1885090836721131692","tweet_id:1885090836721131692","[]"
"Au # QUEEN MINNIE","@audidudidamn","2025-01-30T21:50:35.000Z","semoga orang bali lemparin lu make babi. semoga gaji lu dipotong ppn 12%. semoga semua yg qrt sok2 toleran keselek babi sm gajinya dipotong 12%","0","0","7","567","[]","[]","https://x.com/audidudidamn/status/1885083211254083728","tweet_id:1885083211254083728","[]"
"Au # QUEEN MINNIE","@audidudidamn","2025-01-30T21:47:57.000Z","""chindo rasis sama pribumi"" semoga gaji lu abis dipotong ppn 12%","0","0","0","187","[]","[]","https://x.com/audidudidamn/status/1885082548000481350","tweet_id:1885082548000481350","[]"
"LFB","@JualanAspal","2025-01-30T16:17:47.000Z","Yang ruwet dari penerapan ppn 12% bayangan (karena realitanya masih 11%) adalah keabsahan kontrak2 yang udah jalan, harus diaddendum per januari 2025, tapi mereka juga harus dibayar terkait progress pekerjaan. Jadi tumpang tindih. Belum lagi selisih dpp awal dibanding 11/12.","0","0","0","99","[]","[]","https://x.com/JualanAspal/status/1884999461195395143","tweet_id:1884999461195395143","[]"
"Nimeeee","@kalemajayah","2025-01-30T15:58:56.000Z","Gabisa mencintaimu 100%
Soalnya kena ppn 12%","4","0","4","446","[]","[]","https://x.com/kalemajayah/status/1884994714476368058","tweet_id:1884994714476368058","[]"
"Giebrananinu","@an46949","2025-01-30T15:26:02.000Z","turunkan lagi harga kebutuhan pokok yg terlanjur naik gara2 issue PPN 12 %","0","0","0","51","[]","[]","https://x.com/an46949/status/1884986437642371260","tweet_id:1884986437642371260","['@OposisiCerdas']"
"yol","@odeinvenus","2025-01-30T14:58:14.000Z","Jgn buru2 pingin ganti bulan atuh guys, besok febuari ppn 12%","0","0","0","20","[]","[]","https://x.com/odeinvenus/status/1884979439014236426","tweet_id:1884979439014236426","[]"
"Solopos","@soloposdotcom","2025-01-30T14:27:12.000Z","Awal 2025, Industri Manufaktur Masih Tertekan Akibat Isu PPN 12% Pada awal 2025 industri manufaktur masih tertekan lantaran  pengurangan produksi sebagai respons rencana kenaikan Pajak Pertambahan Nilai (PPN) menjadi 12% oleh pemerintah. ekonomi.espos.id/awal-2025-indu
…","0","0","0","139","[]","[]","https://x.com/soloposdotcom/status/1884971631765782906","tweet_id:1884971631765782906","[]"
"Solopos","@soloposdotcom","2025-01-30T14:26:53.000Z","Aksi Kamisan di Semarang Soroti 100 Hari Prabowo-Gibran Aksi Kamisan di Semarang, tepatnya di depan Kantor Gubernur Jateng, mengkritik kebijakan 100 hari Prabowo-Gibran. Isu PPN 12%, deforestasi, dan reformasi Polri disorot massa. regional.espos.id/aksi-kamisan-d
…","0","0","0","212","[]","[]","https://x.com/soloposdotcom/status/1884971550161428887","tweet_id:1884971550161428887","[]"
