"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"Uunk's","@masuunk","2025-02-27T22:20:59.000Z","Ada orang sehebat ini ditolak jd presiden, lah ini presiden modal omon2 malah kalian pilih, ya gini, makan siang gratis, PPn 12%, pemotongan anggaran sana sini....eh malahan ada fufufafa..ah sudahlah","0","0","0","96","[]","[]","https://x.com/masuunk/status/1895237720869576814","tweet_id:1895237720869576814","['@yaniarsim', '@aniesbaswedan']"
"翱铎 | atas gue boong","@lmaoaopisan","2025-02-27T17:47:14.000Z","diskon 50% dari awal tahun sampw 28 Feb eee kakk soalnya subsidi dari ppn 12% itu","1","0","0","89","[]","[]","https://x.com/lmaoaopisan/status/1895168833004151239","tweet_id:1895168833004151239","['@kanialright']"
"∶ LUKE.","@RAVENLEGANT","2025-02-27T15:14:30.000Z","˗ ˏ ˋ 𝐀 𝐜𝐨𝐧𝐞 𝐟𝐮𝐥𝐥 𝐨𝐟 𝐡𝐚𝐩𝐩𝐢𝐧𝐞𝐬𝐬. ˎˊ ˗ 
━━━━━━━━━━━━━━━

           ⌒*. Dearest, @ajaibmembangun.
           ⌒*. Taiyaki Ice Cream & Aramint❞. Untukmu (belum termasuk PPN 12%) — Az

           XOXO, ROBU ✭ KURI","0","2","1","192","[]","[]","https://x.com/RAVENLEGANT/status/1895130394187718761","tweet_id:1895130394187718761","[]"
"nico delanoHenry@P.","nico delanoHenry@P.","2025-02-27T13:18:37.000Z","Melebihi  PPN 12 %..... ABADI  PEJABAT2  INDONESIA  KORUPSI2..
 RAKYAT  JADI  SAPI  PERAH.. BAYAR2  PAJAK.. DISISI  LAIN  KORUPSI  MERAJALELA..  SRI  MULYANI.. SEHARUSNYA  DI GANTI..  TIKUS2 PEJABAT KEUANGAN  TILEP2  UANG2  RAKYAT  DI BIARKAN  OLEH  SRI MULIANI.","0","0","0","51","[]","[]","https://x.com/NHenryp29864/status/1895101233393999889","tweet_id:1895101233393999889","['@Ary_PrasKe2']"
"","@Sapphirecove","2025-02-27T12:15:24.000Z","maaf ya aku juga belinya tahun lalu sebelum ppn 12%","1","0","0","27","[]","[]","https://x.com/Sapphirecove/status/1895085321261613476","tweet_id:1895085321261613476","['@ephemeradl']"
"Шїщї Йѳfяїчаптї","@3Reflian_fam","2025-02-27T10:13:56.000Z","Indomie semenjak ada isu PPN 12% kemasannya mengecil","1","0","1","67","[]","[]","https://x.com/3Reflian_fam/status/1895054752964321732","tweet_id:1895054752964321732","['@ArgentianaA']"
"Tram Mover INKA Madiun Tegas","@TramMoverINKA","2025-02-27T08:23:02.000Z","Kabar Gembira! Tiket kereta tidak dikenakan PPN 12%Gaes!  

Tiket kereta api nggak dikenakan PPN 12% ya. Jadi, perjalanan kamu  tetap hemat. Mau liburan ke tempat seru atau cuma buat perjalanan  harian, semuanya tetap ramah di kantong!

Naik kereta api emang  jadi pilihan","1","0","0","28","[]","[]","https://x.com/TramMoverINKA/status/1895026844241719520","tweet_id:1895026844241719520","['@TramMoverINKA']"
"#PajakKitaUntukKita","@kring_pajak","2025-02-27T06:54:59.000Z","Hai, Kak.
Jika barang tidak termasuk kategori barang mewah, maka DPP menggunakan nilai lain 11/12 dari harga jual atau nilai penggantian, PPN 12%. Sehingga PPN efektif adalah 11% dari harga jual.
Untuk data prepopulated, jika yang muncul harga jual penuh, sepanjang PPN efektif","0","0","0","159","[]","[]","https://x.com/kring_pajak/status/1895004685549085064","tweet_id:1895004685549085064","['@sweet_candy017']"
"buntut kadal","@olebee11","2025-02-27T06:15:35.000Z","Sudah beberapa bulan bpk ini menjabat, namun belum terlihat kebijakan yg menguntungkan rakyat, kecuali naiknya PPN 12% yg skg dampaknya menyerang semua harga kebutuhan pokok naik wkwkw anjg","0","0","0","14","[]","[]","https://x.com/olebee11/status/1894994772244471884","tweet_id:1894994772244471884","['@tvOneNews']"
"KKP Benny Gunawan & Rekan","@KkpBenny","2025-02-27T05:01:19.000Z","Mulai 12 Februari 2025, akses e-Faktur Desktop kembali dibuka untuk PKP. Namun, perlu dicatat bahwa aplikasi ini belum otomatis menyesuaikan tarif PPN 12%. 
Oleh karena itu, perlu dilakukan penyesuaian secara manual pada DPP & PPN terutangnya #fakturpajak #pajak","1","0","0","67","['#fakturpajak', '#pajak']","[]","https://x.com/KkpBenny/status/1894976083000521030","tweet_id:1894976083000521030","[]"
"Totopethul","@totopethul2","2025-02-27T02:45:46.000Z","Masalah demi masalah belum genap 6 bulan di pemerintahan Prabowo ini:
1. Revisi undang2 pilkada
2. PPN 12%
3. Pagar Laut
4. LPG 3kg
5. Efisiensi untuk danantara
6. Sukatani 
7. Oplosan pertamax
8. Lanjut...terus...gelap
9.
10.
11.
12.
13...","1","14","121","5.4K","[]","[]","https://x.com/totopethul2/status/1894941971439026328","tweet_id:1894941971439026328","['@uyoktweet']"
"Unknown","@noma_den","2025-02-27T02:00:44.000Z","Gently reminder, bsok disc listrik 50% atas kompensasi PPN 12%  akan berakhir, 
gini amat jadi WNI,  pantekk #IndonesiaGelap #PertamaxOplosan #PertaminaSarangKoruptor","0","0","0","139","['#IndonesiaGelap', '#PertamaxOplosan', '#PertaminaSarangKoruptor']","[]","https://x.com/noma_den/status/1894930636865241576","tweet_id:1894930636865241576","[]"
"Raja Ijazah Palsu","@DMieaceh80579","2025-02-26T22:49:18.000Z","Kaum 58 pada kemana ya?
Menghilang karena blm cair"" atau lagi pada Happy, menikmati PPN 12%...Woi minta sama Wapres loe pada, ketemua dan berdiskusi dengan Mahasiswa,  jangan dengan anak TK dan SD,
Biar nambah sedikit pinter nya.","0","1","0","32","[]","[]","https://x.com/DMieaceh80579/status/1894882460154110454","tweet_id:1894882460154110454","['@TomJerr92667042', '@Catatan_ali7', '@cobeh2022', '@bahlillahadalia', '@124hmahHastuti1', '@50Kuasa', '@21_mozza', '@choymarkochoy', '@Mdy_Asmara1701', '@NenkMonica']"
"Scarlett","@moscato_choco","2025-02-26T16:40:59.000Z","IKN
Pertalite
Pertamax
MBG
DanantaraPPN 12%
Oke gas, mana gas

Banyak kak ","0","0","0","256","[]","[]","https://x.com/moscato_choco/status/1894789772268445826","tweet_id:1894789772268445826","['@hrdbacot']"
"Minyongki","@Minyongki1","2025-02-26T15:35:45.000Z","Baru 100 hari-an banyak bgt yg ngerugiin masyarakat. Efisiensi, ppn 12%,gas elpiji, makan siang, danantara, pagar laut. Gila banget ni presiden
Mana wakilnya kaga jelas jg. Kerjaannya bagi² susu doang ","1","0","0","105","[]","[]","https://x.com/Minyongki1/status/1894773352344285583","tweet_id:1894773352344285583","['@tanyakanrl']"
"coba jujur (F-H DEMOKRASI-PERUBAHAN)","@secret_Govermen","2025-02-26T15:27:21.000Z","Prabowo macan ompong yang sudah siap ngemut empeng saya yakin seyakin yakinya mau sampai indonesia ini jungkir balik srimulyani dan wahyu sakti trenggono ga mungkik di reshufle Prabowo,pantas saja prabowo ngemis ppn 12% ""ditunda "" jadi bukan dibatalkan atau diberlakukan atas","1","0","0","47","[]","[]","https://x.com/secret_Govermen/status/1894771242055659673","tweet_id:1894771242055659673","[]"
"Femaa","@Art01Fma68361","2025-02-26T15:11:06.000Z","Apa jadinya jika dari kemarin tidak demo demo,
- ku yakin permainan pemerintah dalam mengubah aturan akan terang terangan (waktu jilid 1 peringatan darurat) 
- ppn 12% akan di tetapkan
- gas rpg tidak boleh dijual di pengecer

Dan sekrang sedang demo memperjuangkan pendidikan.","0","0","0","52","[]","[]","https://x.com/Art01Fma68361/status/1894767152420516265","tweet_id:1894767152420516265","['@WinSamb']"
"Paun D. Ra","@PaundraJuve","2025-02-26T14:07:09.000Z","Baru dua bulan di tahun 2025 ini negara udah banyak banget gebrakannya:

- Ganti pelatih timnas
- Ppn 12%
- Pagar laut
- Gas 3kg
- Efisiensi anggaran
- Pertamax dioplos pertalite","1","8","20","1.6K","[]","[]","https://x.com/PaundraJuve/status/1894751057756160473","tweet_id:1894751057756160473","[]"
