"Name","Handle","Timestamp","Content","Comments","Retweets","Likes","Analytics","Tags","Mentions","Tweet Link","Tweet ID","Replying To"
"hison's daughter","@matnaetic","2025-04-29T14:44:10.000Z","makasih by ily 29 ribu kena ppn 12%","1","0","0","41","[]","[]","https://x.com/matnaetic/status/1917228421249450428","tweet_id:1917228421249450428","['@lhsgege']"
"Rizki Suti Haryono","@RSutiharyono","2025-04-29T14:05:08.000Z","PPN 12% yee...","0","0","0","52","[]","[]","https://x.com/RSutiharyono/status/1917218595630887154","tweet_id:1917218595630887154","[]"
"인드리","@iceumachiato","2025-04-29T13:01:49.000Z","mana katanya sama persis caranya kaya btob kmren, aku dari awal udh aneh pas ngasih ppn 12% itu sampe aku nanya nanya emang kalo hiburan kena ppn 12% ya perasaan engga deh","1","0","0","68","[]","[]","https://x.com/iceumachiato/status/1917202662539624819","tweet_id:1917202662539624819","['@atuhunaa']"
"Karelin Gabon","@KarelinGabon","2025-04-29T11:10:02.000Z","Kenapa kamu pikir lgbt menyimpang, lgbt siapa, polisi RI? Lgbt siapa RUU TNI?! Lgbt siapa, seseoranf koruptor?! Lgbt siapa, PPN 12%?!","1","0","0","96","[]","[]","https://x.com/KarelinGabon/status/1917174533397876776","tweet_id:1917174533397876776","['@ysf_oiu', '@Thetanaya']"
"hil ۶ৎ ྀི","@rosyyzls","2025-04-28T13:12:07.000Z","Beli pulsaaaa kena 12% nyesek banget waktu itu aku beli 30k kepotong 12% Kalau platinum 50 itu udah bakal dapet 50gb. Tapiiiii per bulannya bayar 100k+ppn 12% 
Makanya aku ogah lanjutin, setelah bayar tagihan nanti mau aku stopppp. Mending buat perpanjang vip youku dkk ","2","0","0","69","[]","[]","https://x.com/rosyyzls/status/1916842869123678381","tweet_id:1916842869123678381","['@hiinochu']"
"hil ۶ৎ ྀི","@rosyyzls","2025-04-28T13:07:31.000Z","Iyaaa, kalau gamau hanguss ya tetep langganan platinum. Tapiii per bulannya mahal bangettt mana kena ppn 12% ","1","0","0","73","[]","[]","https://x.com/rosyyzls/status/1916841711671640189","tweet_id:1916841711671640189","['@hiinochu']"
"hil ۶ৎ ྀི","@rosyyzls","2025-04-28T12:54:25.000Z","Iyaaa hangus kalau berhenti langganan platinum. Sebelnya pake platinum tuh kena ppn 12% Setiap beli pulsa bakal kepotong 12%
Terus pas tagihan juga kena 12%
Yakali sebulan kuota cuma 50gb tapi harus bayar tagihan 110k lebih ","0","0","0","82","[]","[]","https://x.com/rosyyzls/status/1916838412214305148","tweet_id:1916838412214305148","['@rintisell']"
"Cal","@CallictusK","2025-04-28T11:44:37.000Z","20jt + PPN 12%","0","0","0","27","[]","[]","https://x.com/CallictusK/status/1916820847836406129","tweet_id:1916820847836406129","['@FeLl337']"
"","@fallowLEOO","2025-04-28T11:32:51.000Z","yang izin kena ppn 12%","0","0","0","33","[]","[]","https://x.com/fallowLEOO/status/1916817887714767304","tweet_id:1916817887714767304","['@twirlinggyuvin']"
"#PajakKitaUntukKita","@kring_pajak","2025-04-28T01:47:40.000Z","Hai, Kak.
Jika harga jual termasuk PPN sebesar 81.667.140, maka harga jual tdk termasuk PPN sebesar 73.574.000.

Untuk DPP selain barang mewah adalah 11/12 dari harga jual. PPN 12% dari DPP nilai lain tersebut.

Jadi DPP sebesar 11/12 x 73.574.000 = 67.442.833,33 dan PPN sebesar","0","0","1","159","[]","[]","https://x.com/kring_pajak/status/1916670621414838671","tweet_id:1916670621414838671","['@sundusmirr']"
"Gybrant Raca Booming Raca","@GybrantR53927","2025-04-27T15:06:21.000Z","Kritik itu mau berdasar apapun boleh kok.Lagian siapa yg bisa menilai itu kebencian atau bukan? Bagaimana kalau kritik itu datang karena kecintaannya terhadap negara?
Misalnya kritik PPN 12%,pd akhirnya yg setuju dan yg kritik sama2 menikmati pembatalannya.","0","0","0","35","[]","[]","https://x.com/GybrantR53927/status/1916509227440316781","tweet_id:1916509227440316781","['@jokowi', '@Pak_Thanos_lagi', '@prabowo', '@jansen_jsp']"
"coba jujur (F-H DEMOKRASI-PERUBAHAN)","@secret_Govermen","2025-04-27T00:58:23.000Z"," resmi perbanyak hutang katanya kemaren kampanye hapus hutang kebanyak nelan air liurnya jokowi,mbg itupak cuma dari sisi lain yg nampak tapi disisi lain yg tak nampak semuanya naik imbas ppn 12% n global","0","0","2","595","[]","['@prabowo']","https://x.com/secret_Govermen/status/1916295828077203889","tweet_id:1916295828077203889","['@ChovaMelians26']"
"putri gaJah Sumatera","@gajahhsumatera","2025-04-25T14:03:58.000Z","Parti at my Habitat :

Aries = bayar 250 jt + ppn 12%
Taurus = free & get kiss (1 person only)
Gemini = kelaut aja
Libra = etlis konsesi tambang nikel di Pulau Obi
Scorpi = harus org dalam istana
Capri = etlis koko"" pik avenue
Leo = kalo pikmi langsung diarak satpam keluar Gedung","3","0","6","471","[]","[]","https://x.com/gajahhsumatera/status/1915768754396684565","tweet_id:1915768754396684565","[]"
"Lieven","@jungwonangis","2025-04-25T11:03:19.000Z","riswit kenapa PPN 12%","1","0","0","434","[]","[]","https://x.com/jungwonangis/status/1915723290976362497","tweet_id:1915723290976362497","['@locsigur']"
